RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 2.000000 	 0.179455 	 0.371057 	 -0.440362 	 0.213386 
24.000000 	 2.000000 	 0.295108 	 0.354090 	 -0.433692 	 0.220646 
23.000000 	 2.000000 	 0.346656 	 0.334882 	 -0.463652 	 0.210821 
22.000000 	 2.000000 	 0.347061 	 0.344355 	 -0.526699 	 0.206770 
21.000000 	 2.000000 	 0.375999 	 0.375939 	 -0.581168 	 0.205127 
20.000000 	 2.000000 	 0.431789 	 0.357820 	 -0.646530 	 0.224079 
19.000000 	 2.000000 	 0.484383 	 0.414355 	 -0.707646 	 0.312981 
18.000000 	 2.000000 	 2.925745 	 2.240034 	 -0.027144 	 1.624942 
17.000000 	 2.000000 	 16.724826 	 1.949639 	 0.686791 	 1.123995 
16.000000 	 2.000000 	 17.781972 	 1.264771 	 0.716947 	 0.910580 
15.000000 	 2.000000 	 17.696118 	 1.182849 	 0.423265 	 0.818588 
14.000000 	 2.000000 	 16.564727 	 1.534215 	 0.013367 	 0.868688 
13.000000 	 2.000000 	 7.991070 	 3.448659 	 -0.068817 	 2.072311 
12.000000 	 2.000000 	 7.429650 	 1.609879 	 1.339767 	 0.778002 
11.000000 	 2.000000 	 9.231915 	 1.119493 	 1.289006 	 0.624004 
10.000000 	 2.000000 	 9.824752 	 0.925056 	 1.246232 	 0.598364 
9.000000 	 2.000000 	 9.595845 	 1.098837 	 1.227550 	 0.643440 
8.000000 	 2.000000 	 8.189318 	 1.765648 	 1.058701 	 0.721985 
7.000000 	 2.000000 	 5.009395 	 1.851341 	 0.628153 	 0.630562 
6.000000 	 2.000000 	 1.334678 	 0.550261 	 0.795934 	 0.400258 
5.000000 	 2.000000 	 -0.120055 	 0.651098 	 0.971203 	 0.256237 
4.000000 	 2.000000 	 -1.195134 	 0.682716 	 0.965942 	 0.255484 
3.000000 	 2.000000 	 -2.020242 	 0.599055 	 0.816299 	 0.251739 
2.000000 	 2.000000 	 -2.519574 	 0.525686 	 0.644590 	 0.243808 
1.000000 	 2.000000 	 -2.642030 	 0.547271 	 0.379454 	 0.260455 
0.000000 	 2.000000 	 -2.776516 	 0.527234 	 0.139225 	 0.255793 
-1.000000 	 2.000000 	 -2.706112 	 0.519614 	 -0.167336 	 0.236017 
-2.000000 	 2.000000 	 -2.558711 	 0.542411 	 -0.358739 	 0.254491 
-3.000000 	 2.000000 	 -2.185082 	 0.593648 	 -0.608979 	 0.259515 
-4.000000 	 2.000000 	 -1.540672 	 0.661567 	 -0.800363 	 0.253914 
-5.000000 	 2.000000 	 -0.500537 	 0.621046 	 -0.887984 	 0.271889 
-6.000000 	 2.000000 	 1.078068 	 0.543783 	 -0.857885 	 0.399621 
-7.000000 	 2.000000 	 5.030704 	 1.927434 	 -0.914050 	 0.632440 
-8.000000 	 2.000000 	 8.118381 	 1.824069 	 -1.599119 	 0.675621 
-9.000000 	 2.000000 	 9.560693 	 1.070765 	 -1.944538 	 0.632835 
-10.000000 	 2.000000 	 9.767094 	 0.926465 	 -2.032848 	 0.606413 
-11.000000 	 2.000000 	 8.835233 	 1.171950 	 -2.014926 	 0.616101 
-12.000000 	 2.000000 	 3.536868 	 1.955913 	 -1.334046 	 1.697244 
-13.000000 	 2.000000 	 14.738744 	 2.697809 	 0.243878 	 1.358810 
-14.000000 	 2.000000 	 18.717443 	 1.501689 	 -0.151005 	 0.854430 
-15.000000 	 2.000000 	 20.019807 	 1.202657 	 -0.419673 	 0.828125 
-16.000000 	 2.000000 	 19.758960 	 1.547830 	 -0.545612 	 0.994240 
-17.000000 	 2.000000 	 15.131230 	 3.770163 	 -0.072771 	 1.614981 
-18.000000 	 2.000000 	 0.739186 	 0.713144 	 0.901299 	 0.663996 
-19.000000 	 2.000000 	 0.795692 	 0.397133 	 0.817840 	 0.227047 
-20.000000 	 2.000000 	 0.839740 	 0.368926 	 0.717980 	 0.199572 
-21.000000 	 2.000000 	 0.890452 	 0.355325 	 0.642329 	 0.200071 
-22.000000 	 2.000000 	 0.916665 	 0.350596 	 0.573421 	 0.203983 
-23.000000 	 2.000000 	 0.923228 	 0.351687 	 0.502551 	 0.204917 
-24.000000 	 2.000000 	 1.016370 	 0.361436 	 0.487747 	 0.192944 
-25.000000 	 2.000000 	 0.997292 	 0.406671 	 0.461945 	 0.192552 
