RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
35.000000 	 30.000000 	 0.559586 	 0.568040 
34.000000 	 30.000000 	 0.545950 	 0.619047 
33.000000 	 30.000000 	 0.593083 	 0.865940 
32.000000 	 30.000000 	 0.820619 	 1.214530 
31.000000 	 30.000000 	 1.087181 	 1.603088 
30.000000 	 30.000000 	 1.473542 	 2.007935 
29.000000 	 30.000000 	 2.147049 	 2.644567 
28.000000 	 30.000000 	 2.774066 	 3.088178 
27.000000 	 30.000000 	 3.499653 	 3.416046 
26.000000 	 30.000000 	 4.431589 	 3.591604 
25.000000 	 30.000000 	 5.386564 	 3.324823 
24.000000 	 30.000000 	 5.953058 	 3.019480 
23.000000 	 30.000000 	 6.082695 	 2.854509 
22.000000 	 30.000000 	 5.729176 	 2.669710 
21.000000 	 30.000000 	 4.719715 	 2.645639 
20.000000 	 30.000000 	 3.481915 	 2.592795 
19.000000 	 30.000000 	 2.300738 	 2.256767 
18.000000 	 30.000000 	 1.040057 	 1.666119 
17.000000 	 30.000000 	 0.671047 	 1.634286 
16.000000 	 30.000000 	 0.344853 	 1.494923 
15.000000 	 30.000000 	 0.361510 	 1.481062 
14.000000 	 30.000000 	 0.342370 	 1.535202 
13.000000 	 30.000000 	 0.520228 	 1.441320 
12.000000 	 30.000000 	 0.541952 	 1.321447 
11.000000 	 30.000000 	 0.619276 	 1.232244 
10.000000 	 30.000000 	 0.696561 	 1.185630 
9.000000 	 30.000000 	 0.573997 	 1.088355 
8.000000 	 30.000000 	 0.598459 	 1.101795 
7.000000 	 30.000000 	 0.666891 	 0.993218 
6.000000 	 30.000000 	 0.539012 	 0.946705 
5.000000 	 30.000000 	 0.413122 	 0.939975 
4.000000 	 30.000000 	 0.379882 	 0.907601 
3.000000 	 30.000000 	 0.240559 	 0.904794 
2.000000 	 30.000000 	 0.088817 	 0.899321 
1.000000 	 30.000000 	 0.008649 	 0.886668 
0.000000 	 30.000000 	 -0.190237 	 0.895090 
-1.000000 	 30.000000 	 -0.267747 	 0.927895 
-2.000000 	 30.000000 	 -0.345132 	 0.934153 
-3.000000 	 30.000000 	 -0.483951 	 0.935891 
-4.000000 	 30.000000 	 -0.579084 	 0.977250 
-5.000000 	 30.000000 	 -0.572888 	 0.938681 
-6.000000 	 30.000000 	 -0.645436 	 0.976434 
-7.000000 	 30.000000 	 -0.776231 	 0.991188 
-8.000000 	 30.000000 	 -0.708231 	 1.005818 
-9.000000 	 30.000000 	 -0.538246 	 1.069307 
-10.000000 	 30.000000 	 -0.688024 	 1.257162 
-11.000000 	 30.000000 	 -0.440833 	 1.301635 
-12.000000 	 30.000000 	 -0.421552 	 1.351581 
-13.000000 	 30.000000 	 -0.074297 	 1.420871 
-14.000000 	 30.000000 	 0.004385 	 1.462629 
-15.000000 	 30.000000 	 -0.054971 	 1.398145 
-16.000000 	 30.000000 	 -0.238264 	 1.479757 
-17.000000 	 30.000000 	 -0.688762 	 1.650559 
-18.000000 	 30.000000 	 -1.582790 	 2.090716 
-19.000000 	 30.000000 	 -3.368088 	 2.684057 
-20.000000 	 30.000000 	 -4.799804 	 2.721684 
-21.000000 	 30.000000 	 -5.752851 	 2.682821 
-22.000000 	 30.000000 	 -5.729161 	 2.832342 
-23.000000 	 30.000000 	 -5.488453 	 3.122492 
-24.000000 	 30.000000 	 -4.048131 	 3.595738 
-25.000000 	 30.000000 	 -2.997382 	 3.491808 
-26.000000 	 30.000000 	 -2.123806 	 3.118616 
-27.000000 	 30.000000 	 -1.246328 	 2.508143 
-28.000000 	 30.000000 	 -0.394931 	 1.938944 
-29.000000 	 30.000000 	 0.040704 	 1.459553 
-30.000000 	 30.000000 	 0.192554 	 0.991045 
-31.000000 	 30.000000 	 0.379305 	 0.756238 
-32.000000 	 30.000000 	 0.367417 	 0.664403 
-33.000000 	 30.000000 	 0.370579 	 0.563977 
-34.000000 	 30.000000 	 0.396962 	 0.519996 
-35.000000 	 30.000000 	 0.334117 	 0.536413 
