RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 2.000000 	 0.234614 	 0.307690 	 -0.653201 	 0.197170 
24.000000 	 2.000000 	 0.243156 	 0.302546 	 -0.683664 	 0.199252 
23.000000 	 2.000000 	 0.282934 	 0.292919 	 -0.731353 	 0.193795 
22.000000 	 2.000000 	 0.323897 	 0.335986 	 -0.750642 	 0.200601 
21.000000 	 2.000000 	 0.361060 	 0.323310 	 -0.829717 	 0.200986 
20.000000 	 2.000000 	 0.394612 	 0.344632 	 -0.900885 	 0.218374 
19.000000 	 2.000000 	 0.395074 	 0.467813 	 -1.029489 	 0.415011 
18.000000 	 2.000000 	 2.995158 	 2.441357 	 0.057531 	 2.113425 
17.000000 	 2.000000 	 15.196207 	 2.688919 	 0.111043 	 1.703616 
16.000000 	 2.000000 	 17.531690 	 1.728277 	 -0.256616 	 1.774170 
15.000000 	 2.000000 	 18.672480 	 1.472218 	 -0.369141 	 1.539335 
14.000000 	 2.000000 	 18.882518 	 1.550746 	 -0.619593 	 1.228913 
13.000000 	 2.000000 	 12.193733 	 3.688589 	 -0.308277 	 2.294466 
12.000000 	 2.000000 	 6.003469 	 1.957983 	 0.974067 	 1.034200 
11.000000 	 2.000000 	 8.727516 	 1.256659 	 0.686250 	 0.568676 
10.000000 	 2.000000 	 9.873392 	 0.963521 	 0.472830 	 0.499833 
9.000000 	 2.000000 	 9.908755 	 0.959190 	 0.465815 	 0.549137 
8.000000 	 2.000000 	 9.335704 	 1.391643 	 0.396395 	 0.618195 
7.000000 	 2.000000 	 6.167233 	 2.542943 	 0.237514 	 0.710752 
6.000000 	 2.000000 	 0.927288 	 1.198028 	 0.381326 	 0.757063 
5.000000 	 2.000000 	 -0.001757 	 1.195127 	 0.577869 	 0.768362 
4.000000 	 2.000000 	 -0.463832 	 1.268324 	 0.635002 	 0.849577 
3.000000 	 2.000000 	 -0.655473 	 1.220101 	 0.427609 	 0.796003 
2.000000 	 2.000000 	 -1.127624 	 1.307664 	 0.419189 	 0.848219 
1.000000 	 2.000000 	 -1.317581 	 1.289758 	 0.208221 	 0.824872 
0.000000 	 2.000000 	 -1.321633 	 1.353346 	 0.064660 	 0.831651 
-1.000000 	 2.000000 	 -1.518065 	 1.261700 	 -0.177181 	 0.850561 
-2.000000 	 2.000000 	 -1.158898 	 1.261606 	 -0.318959 	 0.801430 
-3.000000 	 2.000000 	 -0.827718 	 1.200083 	 -0.383510 	 0.859226 
-4.000000 	 2.000000 	 -0.588786 	 1.259602 	 -0.505306 	 0.825040 
-5.000000 	 2.000000 	 -0.236092 	 1.208969 	 -0.649205 	 0.793180 
-6.000000 	 2.000000 	 0.802477 	 1.211748 	 -0.424037 	 0.666036 
-7.000000 	 2.000000 	 5.163591 	 2.504969 	 -0.524096 	 0.566754 
-8.000000 	 2.000000 	 8.752241 	 1.367628 	 -0.961057 	 0.541532 
-9.000000 	 2.000000 	 9.462489 	 0.871888 	 -1.071832 	 0.488559 
-10.000000 	 2.000000 	 9.015880 	 0.946443 	 -1.193888 	 0.480962 
-11.000000 	 2.000000 	 7.409435 	 1.406361 	 -1.258208 	 0.571141 
-12.000000 	 2.000000 	 2.093715 	 2.040826 	 -0.549594 	 2.243102 
-13.000000 	 2.000000 	 16.734819 	 1.917260 	 1.652083 	 1.171488 
-14.000000 	 2.000000 	 18.459670 	 1.393265 	 1.500885 	 1.110087 
-15.000000 	 2.000000 	 18.217157 	 1.341389 	 1.019872 	 1.189045 
-16.000000 	 2.000000 	 17.462459 	 1.756505 	 0.829735 	 1.425306 
-17.000000 	 2.000000 	 11.832210 	 4.100510 	 0.546721 	 1.841379 
-18.000000 	 2.000000 	 0.910581 	 0.873381 	 1.000272 	 0.790001 
-19.000000 	 2.000000 	 0.878400 	 0.453720 	 0.871372 	 0.303811 
-20.000000 	 2.000000 	 0.964122 	 0.377152 	 0.770568 	 0.220992 
-21.000000 	 2.000000 	 0.950867 	 0.365838 	 0.651205 	 0.204137 
-22.000000 	 2.000000 	 0.940206 	 0.352006 	 0.585256 	 0.199401 
-23.000000 	 2.000000 	 0.961352 	 0.351004 	 0.541904 	 0.198068 
-24.000000 	 2.000000 	 1.002982 	 0.357021 	 0.507620 	 0.197765 
-25.000000 	 2.000000 	 1.044995 	 0.350667 	 0.505313 	 0.187812 
