RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 2.000000 	 0.084160 	 0.409002 
24.000000 	 2.000000 	 0.076566 	 0.394886 
23.000000 	 2.000000 	 0.082506 	 0.382751 
22.000000 	 2.000000 	 0.097294 	 0.376188 
21.000000 	 2.000000 	 0.104183 	 0.378092 
20.000000 	 2.000000 	 0.133787 	 0.392759 
19.000000 	 2.000000 	 0.278796 	 0.818240 
18.000000 	 2.000000 	 6.768620 	 4.150061 
17.000000 	 2.000000 	 12.959215 	 1.988338 
16.000000 	 2.000000 	 13.635573 	 1.401744 
15.000000 	 2.000000 	 13.687606 	 1.230611 
14.000000 	 2.000000 	 12.581548 	 1.498334 
13.000000 	 2.000000 	 4.933583 	 3.150956 
12.000000 	 2.000000 	 0.372692 	 1.168719 
11.000000 	 2.000000 	 0.325559 	 1.157856 
10.000000 	 2.000000 	 0.329442 	 1.158295 
9.000000 	 2.000000 	 0.286106 	 1.116768 
8.000000 	 2.000000 	 0.287896 	 1.048125 
7.000000 	 2.000000 	 0.014815 	 1.099096 
6.000000 	 2.000000 	 -0.035616 	 0.923314 
5.000000 	 2.000000 	 0.075875 	 0.938324 
4.000000 	 2.000000 	 0.008699 	 0.939626 
3.000000 	 2.000000 	 0.086627 	 0.970229 
2.000000 	 2.000000 	 0.054840 	 0.963218 
1.000000 	 2.000000 	 0.071379 	 0.968953 
0.000000 	 2.000000 	 0.114772 	 1.001507 
-1.000000 	 2.000000 	 0.138776 	 1.005758 
-2.000000 	 2.000000 	 0.134973 	 0.969301 
-3.000000 	 2.000000 	 0.091988 	 0.945534 
-4.000000 	 2.000000 	 0.097038 	 0.918134 
-5.000000 	 2.000000 	 0.063675 	 0.982334 
-6.000000 	 2.000000 	 -0.006479 	 1.143889 
-7.000000 	 2.000000 	 0.117157 	 0.983095 
-8.000000 	 2.000000 	 0.112097 	 1.042677 
-9.000000 	 2.000000 	 0.067894 	 1.094905 
-10.000000 	 2.000000 	 0.034087 	 1.117882 
-11.000000 	 2.000000 	 -0.028028 	 1.065753 
-12.000000 	 2.000000 	 -5.133805 	 2.957958 
-13.000000 	 2.000000 	 -11.444402 	 1.329909 
-14.000000 	 2.000000 	 -12.686025 	 1.085945 
-15.000000 	 2.000000 	 -12.704054 	 1.197508 
-16.000000 	 2.000000 	 -12.359560 	 1.734400 
-17.000000 	 2.000000 	 -5.661105 	 3.567868 
-18.000000 	 2.000000 	 -0.308495 	 0.565367 
-19.000000 	 2.000000 	 -0.227313 	 0.352915 
-20.000000 	 2.000000 	 -0.139463 	 0.366175 
-21.000000 	 2.000000 	 -0.080850 	 0.392704 
-22.000000 	 2.000000 	 0.040617 	 0.405057 
-23.000000 	 2.000000 	 0.148260 	 0.395622 
-24.000000 	 2.000000 	 0.162684 	 0.388727 
-25.000000 	 2.000000 	 0.202897 	 0.408724 
