RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 2.000000 	 0.070385 	 0.372551 
24.000000 	 2.000000 	 0.080620 	 0.371294 
23.000000 	 2.000000 	 0.095608 	 0.362201 
22.000000 	 2.000000 	 0.143233 	 0.364114 
21.000000 	 2.000000 	 0.199279 	 0.366251 
20.000000 	 2.000000 	 0.175354 	 0.347810 
19.000000 	 2.000000 	 0.173689 	 0.434562 
18.000000 	 2.000000 	 0.372172 	 1.859627 
17.000000 	 2.000000 	 0.790271 	 1.337831 
16.000000 	 2.000000 	 0.936532 	 0.998838 
15.000000 	 2.000000 	 0.875960 	 0.962422 
14.000000 	 2.000000 	 0.725978 	 1.287797 
13.000000 	 2.000000 	 0.302585 	 2.085177 
12.000000 	 2.000000 	 0.330591 	 1.138207 
11.000000 	 2.000000 	 0.322742 	 1.183266 
10.000000 	 2.000000 	 0.359518 	 1.161693 
9.000000 	 2.000000 	 0.345840 	 1.169279 
8.000000 	 2.000000 	 0.226070 	 1.117807 
7.000000 	 2.000000 	 0.046111 	 1.168834 
6.000000 	 2.000000 	 0.053881 	 0.955128 
5.000000 	 2.000000 	 0.120170 	 0.977631 
4.000000 	 2.000000 	 0.085293 	 1.005884 
3.000000 	 2.000000 	 0.139749 	 1.043074 
2.000000 	 2.000000 	 0.158496 	 1.004725 
1.000000 	 2.000000 	 0.047095 	 1.007415 
0.000000 	 2.000000 	 0.112466 	 1.022794 
-1.000000 	 2.000000 	 0.105726 	 1.015525 
-2.000000 	 2.000000 	 0.052569 	 1.001963 
-3.000000 	 2.000000 	 0.025677 	 0.998764 
-4.000000 	 2.000000 	 -0.055932 	 0.987321 
-5.000000 	 2.000000 	 0.058248 	 0.989133 
-6.000000 	 2.000000 	 -0.000937 	 1.168034 
-7.000000 	 2.000000 	 0.099857 	 1.128898 
-8.000000 	 2.000000 	 0.111844 	 1.103903 
-9.000000 	 2.000000 	 0.085425 	 1.117980 
-10.000000 	 2.000000 	 0.016737 	 1.129254 
-11.000000 	 2.000000 	 -0.003534 	 1.081511 
-12.000000 	 2.000000 	 -0.188010 	 1.942717 
-13.000000 	 2.000000 	 -0.148256 	 1.171376 
-14.000000 	 2.000000 	 -0.168843 	 0.926451 
-15.000000 	 2.000000 	 -0.151660 	 1.026747 
-16.000000 	 2.000000 	 -0.241740 	 1.391076 
-17.000000 	 2.000000 	 -0.364880 	 1.650173 
-18.000000 	 2.000000 	 -0.139051 	 0.366887 
-19.000000 	 2.000000 	 -0.125043 	 0.344778 
-20.000000 	 2.000000 	 -0.126083 	 0.364573 
-21.000000 	 2.000000 	 -0.071036 	 0.368845 
-22.000000 	 2.000000 	 -0.102562 	 0.385317 
-23.000000 	 2.000000 	 -0.083092 	 0.373394 
-24.000000 	 2.000000 	 -0.064116 	 0.370217 
-25.000000 	 2.000000 	 -0.043368 	 0.362204 
