RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
30.000000 	 50.000000 	 0.728736 	 0.187288 	 -0.270712 	 0.145750 
29.000000 	 50.000000 	 0.692389 	 0.230580 	 -0.262088 	 0.169514 
28.000000 	 50.000000 	 0.703709 	 0.249242 	 -0.266232 	 0.182546 
27.000000 	 50.000000 	 0.604546 	 0.257531 	 -0.256057 	 0.205341 
26.000000 	 50.000000 	 0.576535 	 0.309578 	 -0.321547 	 0.267522 
25.000000 	 50.000000 	 0.706680 	 0.321887 	 -0.316047 	 0.331015 
24.000000 	 50.000000 	 0.710418 	 0.399344 	 -0.339370 	 0.436380 
23.000000 	 50.000000 	 0.878047 	 0.601183 	 -0.325054 	 0.607647 
22.000000 	 50.000000 	 1.558280 	 1.090512 	 -0.267247 	 0.879336 
21.000000 	 50.000000 	 2.391094 	 1.396948 	 -0.314024 	 1.015185 
20.000000 	 50.000000 	 3.827638 	 1.936412 	 -0.197255 	 1.307387 
19.000000 	 50.000000 	 5.233868 	 2.275945 	 -0.074088 	 1.564241 
18.000000 	 50.000000 	 7.064186 	 2.456962 	 -0.133202 	 1.602032 
17.000000 	 50.000000 	 9.023930 	 2.751525 	 -0.166434 	 1.756503 
16.000000 	 50.000000 	 11.498791 	 2.948025 	 -0.433150 	 1.803376 
15.000000 	 50.000000 	 14.149442 	 2.755624 	 -0.470518 	 1.821884 
14.000000 	 50.000000 	 16.036952 	 2.254089 	 -0.492593 	 1.725370 
13.000000 	 50.000000 	 16.970393 	 1.901283 	 -0.596589 	 1.638500 
12.000000 	 50.000000 	 17.134372 	 1.836373 	 -0.695534 	 1.693248 
11.000000 	 50.000000 	 16.188672 	 2.059082 	 -0.697952 	 1.670210 
10.000000 	 50.000000 	 14.768352 	 2.190274 	 -0.649022 	 1.696740 
9.000000 	 50.000000 	 12.919933 	 2.229302 	 -0.450097 	 1.633317 
8.000000 	 50.000000 	 11.307655 	 2.054271 	 -0.412535 	 1.523449 
7.000000 	 50.000000 	 9.841839 	 1.985276 	 -0.375228 	 1.461008 
6.000000 	 50.000000 	 8.430043 	 1.710694 	 -0.274847 	 1.234555 
5.000000 	 50.000000 	 7.667714 	 1.291763 	 -0.219321 	 1.058089 
4.000000 	 50.000000 	 7.140414 	 1.232871 	 -0.357395 	 1.048304 
3.000000 	 50.000000 	 6.981024 	 1.082333 	 -0.423539 	 1.099835 
2.000000 	 50.000000 	 6.655968 	 1.094854 	 -0.370415 	 1.095047 
1.000000 	 50.000000 	 6.638736 	 1.128642 	 -0.343748 	 1.176883 
0.000000 	 50.000000 	 6.670245 	 1.102264 	 -0.368216 	 1.213784 
-1.000000 	 50.000000 	 6.572394 	 1.042852 	 -0.148562 	 1.173333 
-2.000000 	 50.000000 	 6.713415 	 1.113044 	 -0.236264 	 1.187782 
-3.000000 	 50.000000 	 6.897778 	 1.130774 	 -0.260590 	 1.182477 
-4.000000 	 50.000000 	 7.015149 	 1.256828 	 -0.217591 	 1.131697 
-5.000000 	 50.000000 	 7.615559 	 1.338552 	 -0.242977 	 1.111163 
-6.000000 	 50.000000 	 8.243962 	 1.560268 	 -0.188215 	 1.257262 
-7.000000 	 50.000000 	 9.282452 	 1.846504 	 -0.127431 	 1.268463 
-8.000000 	 50.000000 	 10.625849 	 2.129551 	 -0.156957 	 1.345361 
-9.000000 	 50.000000 	 12.443881 	 2.246902 	 -0.187560 	 1.564743 
-10.000000 	 50.000000 	 14.108788 	 2.336401 	 -0.094631 	 1.626413 
-11.000000 	 50.000000 	 16.048417 	 2.134966 	 -0.088981 	 1.587692 
-12.000000 	 50.000000 	 17.204792 	 1.958766 	 -0.159730 	 1.586502 
-13.000000 	 50.000000 	 17.474564 	 1.934079 	 -0.348026 	 1.614882 
-14.000000 	 50.000000 	 16.617754 	 2.257592 	 -0.488561 	 1.644623 
-15.000000 	 50.000000 	 14.133114 	 3.111184 	 -0.201218 	 1.886157 
-16.000000 	 50.000000 	 11.477383 	 2.867688 	 -0.150051 	 1.913062 
-17.000000 	 50.000000 	 8.999672 	 2.773843 	 0.250943 	 1.827652 
-18.000000 	 50.000000 	 7.010652 	 2.633663 	 0.115573 	 1.669414 
-19.000000 	 50.000000 	 5.697212 	 2.369237 	 -0.103382 	 1.711672 
-20.000000 	 50.000000 	 3.498434 	 1.767762 	 0.218286 	 1.353831 
-21.000000 	 50.000000 	 2.228073 	 1.242507 	 0.340372 	 0.929590 
-22.000000 	 50.000000 	 1.318663 	 0.654037 	 0.422013 	 0.729084 
-23.000000 	 50.000000 	 1.033211 	 0.458727 	 0.366457 	 0.564492 
-24.000000 	 50.000000 	 0.978343 	 0.370493 	 0.369616 	 0.362343 
-25.000000 	 50.000000 	 0.919990 	 0.281057 	 0.351414 	 0.296771 
-26.000000 	 50.000000 	 1.004122 	 0.240205 	 0.347230 	 0.225050 
-27.000000 	 50.000000 	 0.984274 	 0.225345 	 0.344739 	 0.202697 
-28.000000 	 50.000000 	 0.997196 	 0.192353 	 0.316056 	 0.155061 
-29.000000 	 50.000000 	 1.013927 	 0.190436 	 0.318851 	 0.154787 
-30.000000 	 50.000000 	 1.025101 	 0.189268 	 0.319888 	 0.135930 
