RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 10.000000 	 0.099804 	 0.390646 
24.000000 	 10.000000 	 0.080938 	 0.417484 
23.000000 	 10.000000 	 0.102683 	 0.424973 
22.000000 	 10.000000 	 0.184600 	 0.416851 
21.000000 	 10.000000 	 0.147999 	 0.528251 
20.000000 	 10.000000 	 0.248351 	 0.919657 
19.000000 	 10.000000 	 1.445278 	 1.954979 
18.000000 	 10.000000 	 3.488261 	 2.951862 
17.000000 	 10.000000 	 6.956130 	 2.642135 
16.000000 	 10.000000 	 8.334756 	 1.732202 
15.000000 	 10.000000 	 8.354092 	 1.212880 
14.000000 	 10.000000 	 7.816947 	 1.285937 
13.000000 	 10.000000 	 5.892771 	 2.094665 
12.000000 	 10.000000 	 3.005795 	 2.257011 
11.000000 	 10.000000 	 0.542422 	 1.359537 
10.000000 	 10.000000 	 0.179303 	 1.114245 
9.000000 	 10.000000 	 0.192398 	 1.094649 
8.000000 	 10.000000 	 0.140075 	 1.106540 
7.000000 	 10.000000 	 0.027469 	 1.284444 
6.000000 	 10.000000 	 0.025331 	 1.654002 
5.000000 	 10.000000 	 -0.110270 	 1.681351 
4.000000 	 10.000000 	 -0.066605 	 1.716758 
3.000000 	 10.000000 	 -0.188510 	 1.689007 
2.000000 	 10.000000 	 -0.280802 	 1.658783 
1.000000 	 10.000000 	 -0.459254 	 1.601865 
0.000000 	 10.000000 	 -0.345580 	 1.631569 
-1.000000 	 10.000000 	 -0.137720 	 1.595795 
-2.000000 	 10.000000 	 -0.133173 	 1.653786 
-3.000000 	 10.000000 	 0.025442 	 1.784914 
-4.000000 	 10.000000 	 -0.111774 	 1.824913 
-5.000000 	 10.000000 	 -0.036222 	 1.883265 
-6.000000 	 10.000000 	 -0.043669 	 1.642222 
-7.000000 	 10.000000 	 0.040602 	 1.377450 
-8.000000 	 10.000000 	 0.040331 	 1.073637 
-9.000000 	 10.000000 	 0.029333 	 1.048606 
-10.000000 	 10.000000 	 -0.288580 	 1.262855 
-11.000000 	 10.000000 	 -3.041978 	 2.475246 
-12.000000 	 10.000000 	 -5.778789 	 2.392087 
-13.000000 	 10.000000 	 -8.048337 	 1.250354 
-14.000000 	 10.000000 	 -8.670407 	 1.055188 
-15.000000 	 10.000000 	 -8.422382 	 1.527491 
-16.000000 	 10.000000 	 -6.734767 	 2.847395 
-17.000000 	 10.000000 	 -3.755374 	 3.168984 
-18.000000 	 10.000000 	 -0.693896 	 1.761963 
-19.000000 	 10.000000 	 0.407776 	 0.575986 
-20.000000 	 10.000000 	 0.466894 	 0.355103 
-21.000000 	 10.000000 	 0.483827 	 0.331768 
-22.000000 	 10.000000 	 0.495311 	 0.288161 
-23.000000 	 10.000000 	 0.437379 	 0.305490 
-24.000000 	 10.000000 	 0.420274 	 0.310867 
-25.000000 	 10.000000 	 0.435594 	 0.302978 
