RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
30.000000 	 30.000000 	 0.603463 	 0.166628 	 -0.311735 	 0.152816 
29.000000 	 30.000000 	 0.585647 	 0.171520 	 -0.360735 	 0.155940 
28.000000 	 30.000000 	 0.626259 	 0.189439 	 -0.419877 	 0.177980 
27.000000 	 30.000000 	 0.643335 	 0.218596 	 -0.429925 	 0.200213 
26.000000 	 30.000000 	 0.739103 	 0.270376 	 -0.456265 	 0.278285 
25.000000 	 30.000000 	 0.799193 	 0.384579 	 -0.455223 	 0.360436 
24.000000 	 30.000000 	 1.010923 	 0.499667 	 -0.499580 	 0.490217 
23.000000 	 30.000000 	 1.399689 	 0.677255 	 -0.548430 	 0.716676 
22.000000 	 30.000000 	 1.829694 	 1.014650 	 -0.592146 	 0.963979 
21.000000 	 30.000000 	 2.923990 	 1.750965 	 -0.487735 	 1.508670 
20.000000 	 30.000000 	 4.049027 	 2.155523 	 -0.565309 	 1.768252 
19.000000 	 30.000000 	 5.746459 	 2.650882 	 -0.635171 	 2.120149 
18.000000 	 30.000000 	 7.865635 	 3.059481 	 -0.683354 	 2.414234 
17.000000 	 30.000000 	 11.279299 	 3.332887 	 -0.023346 	 2.605790 
16.000000 	 30.000000 	 13.236708 	 3.375504 	 -0.026805 	 2.457524 
15.000000 	 30.000000 	 15.009000 	 2.867333 	 -0.029625 	 2.116910 
14.000000 	 30.000000 	 16.690873 	 2.037597 	 0.199047 	 1.668060 
13.000000 	 30.000000 	 16.856559 	 1.611716 	 -0.180345 	 1.350318 
12.000000 	 30.000000 	 15.894468 	 1.703689 	 -0.525605 	 1.385195 
11.000000 	 30.000000 	 14.097929 	 1.885825 	 -0.692575 	 1.444477 
10.000000 	 30.000000 	 12.178394 	 1.782516 	 -0.687970 	 1.436918 
9.000000 	 30.000000 	 10.739680 	 1.591288 	 -0.529919 	 1.266269 
8.000000 	 30.000000 	 9.501534 	 1.254603 	 -0.573559 	 0.967212 
7.000000 	 30.000000 	 8.636154 	 0.951271 	 -0.592594 	 0.819279 
6.000000 	 30.000000 	 8.164631 	 0.929128 	 -0.707434 	 0.813479 
5.000000 	 30.000000 	 7.631796 	 1.120479 	 -0.687882 	 1.071146 
4.000000 	 30.000000 	 7.068967 	 1.297475 	 -0.745682 	 1.194388 
3.000000 	 30.000000 	 6.544853 	 1.264399 	 -0.577188 	 1.369131 
2.000000 	 30.000000 	 6.119092 	 1.206642 	 -0.541706 	 1.449717 
1.000000 	 30.000000 	 5.846059 	 1.202879 	 -0.313070 	 1.503317 
0.000000 	 30.000000 	 5.934964 	 1.129729 	 -0.415929 	 1.613893 
-1.000000 	 30.000000 	 5.772702 	 1.180710 	 -0.138155 	 1.554897 
-2.000000 	 30.000000 	 5.971973 	 1.223027 	 0.011047 	 1.428231 
-3.000000 	 30.000000 	 5.975877 	 1.321224 	 -0.003201 	 1.348569 
-4.000000 	 30.000000 	 6.400134 	 1.409145 	 0.228943 	 1.266867 
-5.000000 	 30.000000 	 6.805741 	 1.405133 	 0.109254 	 1.187405 
-6.000000 	 30.000000 	 7.475797 	 1.329247 	 0.289192 	 1.030185 
-7.000000 	 30.000000 	 8.108031 	 1.240588 	 0.141688 	 1.034302 
-8.000000 	 30.000000 	 8.955929 	 1.246140 	 0.102370 	 1.069085 
-9.000000 	 30.000000 	 10.128968 	 1.563397 	 0.078942 	 1.343964 
-10.000000 	 30.000000 	 11.734260 	 2.132031 	 0.193231 	 1.644051 
-11.000000 	 30.000000 	 13.858025 	 2.318897 	 0.242182 	 1.823865 
-12.000000 	 30.000000 	 15.561270 	 2.075503 	 0.249096 	 1.882308 
-13.000000 	 30.000000 	 15.952973 	 2.175953 	 0.214903 	 1.969506 
-14.000000 	 30.000000 	 14.756881 	 2.790398 	 0.372778 	 2.351208 
-15.000000 	 30.000000 	 13.003095 	 3.127730 	 0.473517 	 2.494892 
-16.000000 	 30.000000 	 10.778242 	 3.181298 	 0.534834 	 2.364946 
-17.000000 	 30.000000 	 8.924250 	 3.050505 	 0.481368 	 2.266615 
-18.000000 	 30.000000 	 7.442303 	 3.035504 	 0.255941 	 2.145167 
-19.000000 	 30.000000 	 4.199171 	 2.151183 	 0.635431 	 1.707125 
-20.000000 	 30.000000 	 2.624471 	 1.498499 	 0.719916 	 1.113141 
-21.000000 	 30.000000 	 1.656779 	 0.791929 	 0.613694 	 0.897576 
-22.000000 	 30.000000 	 1.247117 	 0.470289 	 0.577590 	 0.549502 
-23.000000 	 30.000000 	 1.140561 	 0.358914 	 0.488169 	 0.341026 
-24.000000 	 30.000000 	 0.980918 	 0.307110 	 0.469750 	 0.253582 
-25.000000 	 30.000000 	 0.968944 	 0.287235 	 0.404071 	 0.198301 
-26.000000 	 30.000000 	 0.923082 	 0.271965 	 0.412738 	 0.156873 
-27.000000 	 30.000000 	 0.842030 	 0.248019 	 0.349700 	 0.139466 
-28.000000 	 30.000000 	 0.874427 	 0.251399 	 0.339387 	 0.125978 
-29.000000 	 30.000000 	 0.853232 	 0.242696 	 0.322717 	 0.124520 
-30.000000 	 30.000000 	 0.720800 	 0.220956 	 0.333793 	 0.103060 
